City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Syrskoye,RU,2021-09-16 01:37:36,52.5744,39.4966,47.17,56,82,8.23
119,Batticaloa,LK,2021-09-16 01:37:36,7.7102,81.6924,82.17,72,100,1.41
120,Nurota,UZ,2021-09-16 01:37:37,40.5614,65.6886,53.69,21,0,6.13
121,Atuona,PF,2021-09-16 01:35:29,-9.8,-139.0333,77.88,75,5,19.95
122,Petropavlovsk-Kamchatskiy,RU,2021-09-16 01:37:37,53.0452,158.6483,57.79,47,0,4.47
123,Bardstown,US,2021-09-16 01:37:37,37.8092,-85.4669,73.51,98,90,0.0
124,Muli,MV,2021-09-16 01:37:38,2.9167,73.5667,83.66,67,100,15.17
125,Marihatag,PH,2021-09-16 01:37:38,8.7936,126.2969,82.92,70,98,1.39
126,Brae,GB,2021-09-16 01:37:38,60.3964,-1.353,55.31,91,100,6.31
127,Nuuk,GL,2021-09-16 01:37:38,64.1835,-51.7216,34.41,64,75,6.91
128,Ulladulla,AU,2021-09-16 01:37:39,-35.35,150.4667,61.7,57,32,7.9
129,Esperance,AU,2021-09-16 01:37:39,-33.8667,121.9,64.24,57,47,25.88
130,Gongzhuling,CN,2021-09-16 01:37:39,43.5008,124.8198,59.52,96,100,5.75
131,Qaanaaq,GL,2021-09-16 01:37:39,77.484,-69.3632,14.99,71,83,8.23
132,Rawson,AR,2021-09-16 01:37:40,-43.3002,-65.1023,56.98,45,4,16.42
133,Camana,PE,2021-09-16 01:37:40,-16.6228,-72.7111,60.69,87,44,9.69
134,Barcelona,ES,2021-09-16 01:34:49,41.3888,2.159,76.53,80,40,1.01
135,Bethel,US,2021-09-16 01:36:26,41.3712,-73.414,75.85,84,100,2.84
136,Kahului,US,2021-09-16 01:37:40,20.8947,-156.47,87.82,55,40,21.85
137,Nioro,GM,2021-09-16 01:37:40,13.35,-15.75,76.1,90,74,6.51
138,Nagua,DO,2021-09-16 01:37:41,19.3832,-69.8474,74.44,91,100,6.38
139,La Reforma,MX,2021-09-16 01:37:41,25.0833,-108.05,86.29,80,9,3.85
140,Natchitoches,US,2021-09-16 01:37:41,31.7668,-93.1335,75.88,83,40,6.91
141,Houma,US,2021-09-16 01:37:41,29.5958,-90.7195,80.6,92,0,4.94
142,Puerto Colombia,CO,2021-09-16 01:37:42,10.9878,-74.9547,82.49,81,100,10.56
143,Athabasca,CA,2021-09-16 01:37:42,54.7169,-113.2854,55.22,51,3,24.11
144,Codrington,AU,2021-09-16 01:35:48,-38.2667,141.9667,56.64,62,7,8.03
145,Lata,PT,2021-09-16 01:37:42,40.1629,-8.3327,66.81,97,4,1.77
146,Port Lincoln,AU,2021-09-16 01:37:42,-34.7333,135.8667,64.94,57,0,16.67
147,Butaritari,KI,2021-09-16 01:37:43,3.0707,172.7902,82.96,72,98,12.26
148,Ixtapa,MX,2021-09-16 01:37:43,20.7,-105.2,79.83,83,90,6.91
149,Sharan,RU,2021-09-16 01:37:43,54.8167,54.0,44.17,73,99,9.69
150,Atikokan,CA,2021-09-16 01:37:43,48.7555,-91.6216,60.94,60,100,12.46
151,Ancud,CL,2021-09-16 01:37:44,-41.8697,-73.8203,49.42,86,100,14.03
152,Goderich,CA,2021-09-16 01:37:44,43.7501,-81.7165,59.92,88,0,5.75
153,Teahupoo,PF,2021-09-16 01:37:44,-17.8333,-149.2667,78.76,78,16,15.88
154,Longyearbyen,SJ,2021-09-16 01:37:44,78.2186,15.6401,35.44,64,40,18.41
155,Norman Wells,CA,2021-09-16 01:36:04,65.282,-126.8329,51.84,66,75,2.3
156,Maun,BW,2021-09-16 01:37:45,-19.9833,23.4167,62.56,42,0,4.61
157,High Level,CA,2021-09-16 01:37:45,58.5169,-117.136,48.31,81,90,16.11
158,Banda Aceh,ID,2021-09-16 01:37:45,5.5577,95.3222,82.74,66,100,3.89
159,Kloulklubed,PW,2021-09-16 01:37:45,7.0419,134.2556,86.5,77,41,9.73
160,Auki,SB,2021-09-16 01:37:46,-8.7676,160.7034,86.13,63,79,4.7
161,Astana,KZ,2021-09-16 01:37:46,51.1801,71.446,46.35,71,0,4.47
162,Port Blair,IN,2021-09-16 01:37:46,11.6667,92.75,79.75,84,100,8.39
163,Sinnamary,GF,2021-09-16 01:37:46,5.3833,-52.95,79.41,85,0,9.28
164,Walvis Bay,NA,2021-09-16 01:37:46,-22.9575,14.5053,49.08,81,0,4.61
165,Lircay,PE,2021-09-16 01:37:47,-12.9896,-74.7205,48.67,91,96,5.1
166,Lunsar,SL,2021-09-16 01:37:47,8.6833,-12.5333,71.98,99,100,0.11
167,Te Anau,NZ,2021-09-16 01:37:47,-45.4167,167.7167,44.94,88,81,5.3
168,Mnogovershinnyy,RU,2021-09-16 01:37:47,53.9353,139.9242,61.32,54,100,6.62
169,Saint-Jean-De-Maurienne,FR,2021-09-16 01:37:48,45.1667,6.5833,45.25,88,99,2.57
170,Port Hardy,CA,2021-09-16 01:37:48,50.6996,-127.4199,57.38,62,20,12.66
171,Klaksvik,FO,2021-09-16 01:37:48,62.2266,-6.589,49.12,79,90,5.01
172,Aswan,EG,2021-09-16 01:37:48,24.0934,32.907,81.7,32,0,10.36
173,La Palma,US,2021-09-16 01:35:43,33.8464,-118.0467,86.04,67,20,5.01
174,Adrar,MR,2021-09-16 01:37:49,20.5022,-10.0711,90.68,21,36,13.65
175,Puerto Ayora,EC,2021-09-16 01:37:49,-0.7393,-90.3518,67.55,93,19,1.99
176,Bridgetown,BB,2021-09-16 01:37:49,13.1,-59.6167,82.89,83,75,11.5
177,Trinidad,BO,2021-09-16 01:33:18,-14.8333,-64.9,80.47,50,30,5.84
178,Cidreira,BR,2021-09-16 01:37:49,-30.1811,-50.2056,55.96,66,45,4.79
179,Torbay,CA,2021-09-16 01:35:34,47.6666,-52.7314,48.58,86,1,12.66
180,Buala,SB,2021-09-16 01:35:43,-8.145,159.5921,85.66,66,100,7.67
181,Bathsheba,BB,2021-09-16 01:37:34,13.2167,-59.5167,83.01,83,75,11.5
182,Fallon,US,2021-09-16 01:37:50,39.4735,-118.7774,91.27,11,20,6.91
183,Nikolskoye,RU,2021-09-16 01:35:11,59.7035,30.7861,43.02,89,100,4.05
184,Shebunino,RU,2021-09-16 01:37:50,46.4339,141.8603,65.46,53,64,7.99
185,Hvolsvollur,IS,2021-09-16 01:37:50,63.7533,-20.2243,53.82,92,100,19.8
186,Mandan,US,2021-09-16 01:36:23,46.8267,-100.8896,78.78,36,1,8.05
187,Parkes,AU,2021-09-16 01:37:51,-33.1333,148.1833,62.71,43,48,3.53
188,Kudahuvadhoo,MV,2021-09-16 01:37:51,2.6708,72.8944,83.12,70,100,12.28
189,Cherskiy,RU,2021-09-16 01:36:39,68.75,161.3,35.87,56,84,13.2
190,Belaya Gora,RU,2021-09-16 01:37:36,68.5333,146.4167,45.41,65,95,7.38
191,Souillac,MU,2021-09-16 01:37:51,-20.5167,57.5167,68.38,88,40,3.44
192,Kroya,ID,2021-09-16 01:37:51,-7.6331,109.2461,81.19,77,43,7.49
193,Cedar City,US,2021-09-16 01:35:34,37.6775,-113.0619,79.77,12,1,14.97
194,Manga,BF,2021-09-16 01:37:52,11.6636,-1.0731,74.16,89,45,6.49
195,Bairiki,KI,2021-09-16 01:37:52,1.3292,172.9752,87.8,66,40,10.36
196,Ust-Nera,RU,2021-09-16 01:37:52,64.5667,143.2,55.83,56,7,3.42
197,Carnarvon,AU,2021-09-16 01:37:52,-24.8667,113.6333,68.07,77,40,11.5
198,Chokurdakh,RU,2021-09-16 01:35:58,70.6333,147.9167,37.92,62,91,9.42
199,Gimli,CA,2021-09-16 01:37:52,50.6336,-96.9907,68.43,56,54,20.71
200,Victor Harbor,AU,2021-09-16 01:37:53,-35.5667,138.6167,72.81,63,0,1.01
