City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,18,4.92,few clouds
114,Marystown,CA,47.1666,-55.1483,56.08,85,100,9.37,overcast clouds
115,Yarmouth,US,41.7057,-70.2286,68.04,96,90,14.0,overcast clouds
116,Anadyr,RU,64.75,177.4833,43.3,65,75,20.13,broken clouds
117,Vegreville,CA,53.5001,-112.0518,52.5,37,94,13.8,overcast clouds
118,Haines Junction,CA,60.7522,-137.5108,48.15,61,100,4.61,overcast clouds
119,Pisco,PE,-13.7,-76.2167,61.02,82,0,10.36,clear sky
120,Kibala,TD,9.1104,18.3463,73.35,88,20,11.5,thunderstorm
121,Karratha,AU,-20.7377,116.8463,80.38,26,58,9.4,broken clouds
122,Ziezmariai,LT,54.8,24.45,51.89,96,100,9.78,overcast clouds
123,Amapa,BR,1.0,-52.0,69.84,99,5,2.62,clear sky
124,Leningradskiy,RU,69.3833,178.4167,32.45,74,100,6.55,overcast clouds
125,Kampot,KH,10.6167,104.1833,84.25,73,59,1.01,broken clouds
126,Sao Filipe,CV,14.8961,-24.4956,79.74,81,100,7.9,overcast clouds
127,Ancud,CL,-41.8697,-73.8203,50.43,91,100,13.06,light rain
128,Mount Gambier,AU,-37.8333,140.7667,67.91,42,18,21.85,few clouds
129,Iwanai,JP,42.9744,140.5089,69.98,58,99,6.04,light rain
130,Ust-Nera,RU,64.5667,143.2,57.69,41,48,3.91,scattered clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,59.02,72,0,9.22,clear sky
132,Taltal,CL,-25.4,-70.4833,58.53,74,0,4.12,clear sky
133,Sitka,US,57.0531,-135.33,53.49,58,90,13.8,light rain
134,Palmer,US,42.1584,-72.3287,70.41,77,90,1.99,overcast clouds
135,Constitucion,CL,-35.3333,-72.4167,50.23,88,1,12.57,clear sky
136,Samarai,PG,-10.6167,150.6667,77.85,73,100,17.74,overcast clouds
137,Hermanus,ZA,-34.4187,19.2345,48.79,75,0,8.93,clear sky
138,Provideniya,RU,64.3833,-173.3,39.31,70,75,11.18,broken clouds
139,Yinchuan,CN,38.4681,106.2731,69.85,49,100,3.29,overcast clouds
140,Naze,JP,28.3667,129.4833,79.72,78,77,14.81,broken clouds
141,Deputatskiy,RU,69.3,139.9,41.68,77,100,1.57,overcast clouds
142,Lufilufi,WS,-13.8745,-171.5986,91.18,75,12,18.63,light rain
143,Norman Wells,CA,65.282,-126.8329,55.44,54,40,13.8,scattered clouds
144,Esperance,AU,-33.8667,121.9,51.64,68,80,20.67,broken clouds
145,East London,ZA,-33.0153,27.9116,56.46,64,21,14.85,few clouds
146,Souillac,MU,-20.5167,57.5167,70.18,94,75,3.44,light intensity shower rain
147,Codrington,AU,-38.2667,141.9667,66.85,58,15,25.08,few clouds
148,Warrington,GB,53.3925,-2.5802,58.48,91,100,1.99,overcast clouds
149,Menongue,AO,-14.6585,17.691,60.39,24,13,2.17,few clouds
150,Ullapool,GB,57.8987,-5.1604,56.95,90,100,7.63,overcast clouds
151,Cherskiy,RU,68.75,161.3,44.58,53,90,14.5,overcast clouds
152,Nalut,LY,30.3333,10.85,74.84,25,0,10.45,clear sky
153,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,11.3,broken clouds
154,Walvis Bay,NA,-22.9575,14.5053,53.1,100,0,9.22,clear sky
155,Ulladulla,AU,-35.35,150.4667,70.88,47,0,11.63,clear sky
156,Belmonte,BR,-15.8631,-38.8828,75.7,85,40,8.01,scattered clouds
157,Port Macquarie,AU,-31.4333,152.9167,67.96,56,4,9.69,clear sky
158,Serzhen-Yurt,RU,43.1227,45.9858,62.46,79,68,1.74,broken clouds
159,Chapais,CA,49.7834,-74.8492,53.38,76,34,6.38,scattered clouds
160,Haimen,CN,23.1935,116.6142,85.89,68,26,8.1,light rain
161,Mizdah,LY,31.4451,12.9801,69.35,45,0,5.73,clear sky
162,Padang,ID,-0.9492,100.3543,84.25,70,11,2.39,few clouds
163,Te Anau,NZ,-45.4167,167.7167,41.18,84,96,1.86,overcast clouds
164,Sitarganj,IN,28.9333,79.7,74.12,91,99,5.21,overcast clouds
165,Unity,CA,52.4501,-109.1682,42.26,42,100,16.49,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,70.05,94,75,3.44,light intensity shower rain
167,Grand Gaube,MU,-20.0064,57.6608,70.2,90,15,1.99,moderate rain
168,Castro,BR,-24.7911,-50.0119,53.35,97,100,8.95,overcast clouds
169,Alcudia,ES,39.8532,3.1214,73.2,73,0,5.7,clear sky
170,Pivijay,CO,10.4617,-74.6162,82.49,90,31,5.61,scattered clouds
171,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,62,20,10.36,few clouds
172,Healdsburg,US,38.6105,-122.8692,74.68,69,1,8.01,clear sky
173,Tours,FR,47.4167,0.6667,57.25,94,100,2.3,overcast clouds
174,Mattru,SL,7.6244,-11.8332,71.82,99,86,1.97,overcast clouds
175,Le Port,RE,-20.9373,55.2919,69.76,80,4,6.35,clear sky
176,Constantine,DZ,36.365,6.6147,76.41,46,75,2.3,broken clouds
177,Benguela,AO,-12.5763,13.4055,70.88,85,100,1.88,overcast clouds
178,Rocky Mountain House,CA,52.3668,-114.9188,53.35,40,68,3.44,broken clouds
179,Hamilton,US,39.1834,-84.5333,73.89,86,1,3.44,clear sky
180,Marawi,PH,7.9986,124.2928,72.64,75,75,3.71,broken clouds
181,Teya,RU,60.3778,92.6267,44.1,90,100,5.03,overcast clouds
182,Arraial Do Cabo,BR,-22.9661,-42.0278,69.42,91,100,16.84,overcast clouds
183,Iqaluit,CA,63.7506,-68.5145,33.53,93,1,3.44,clear sky
184,Esik,KZ,43.3552,77.4525,56.62,29,0,2.53,clear sky
185,Saint-Joseph,RE,-21.3667,55.6167,68.36,77,7,3.56,clear sky
186,Necochea,AR,-38.5473,-58.7368,56.03,78,0,11.61,clear sky
187,Bombay,IN,19.0144,72.8479,80.58,89,75,6.91,haze
188,Pevek,RU,69.7008,170.3133,31.86,76,100,16.69,overcast clouds
189,Jaque,PA,7.5175,-78.1703,78.87,85,68,1.07,light rain
190,El Alto,PE,-4.2714,-81.2147,62.33,88,44,13.73,scattered clouds
191,Shaunavon,CA,49.6501,-108.4181,51.58,31,94,15.77,overcast clouds
192,Whitehorse,CA,60.7161,-135.0538,51.03,57,75,8.05,broken clouds
193,Ban Nahin,LA,18.2418,104.2122,82.63,83,94,1.16,light rain
194,Williams Lake,CA,52.1415,-122.1445,58.57,34,75,1.99,broken clouds
195,Alofi,NU,-19.0595,-169.9187,80.49,78,75,9.22,broken clouds
196,Manzhouli,CN,49.6,117.4333,59.52,55,98,11.68,overcast clouds
197,Saint Anthony,US,45.0205,-93.218,84.13,54,1,7.0,clear sky
198,Birur,IN,13.6167,75.9667,70.61,82,73,4.05,broken clouds
199,Thompson,CA,55.7435,-97.8558,46.56,93,75,0.0,broken clouds
200,Jackson,US,42.4165,-122.8345,84.07,16,1,4.61,smoke
201,Gopalpur,IN,19.2667,84.9167,82.02,78,100,4.68,overcast clouds
202,Kavaratti,IN,10.5669,72.642,81.72,78,100,13.73,overcast clouds
203,Hohhot,CN,40.8106,111.6522,61.09,55,0,2.24,clear sky
204,Kaeo,NZ,-35.1,173.7833,56.17,90,100,6.46,overcast clouds
205,Diamantino,BR,-14.4086,-56.4461,86.7,35,95,2.48,overcast clouds
206,Clyde River,CA,70.4692,-68.5914,28.98,76,68,6.26,broken clouds
207,Saint George,US,37.1041,-113.5841,93.79,8,1,9.22,clear sky
208,Sakakah,SA,29.9697,40.2064,80.17,23,0,8.68,clear sky
209,Rio Gallegos,AR,-51.6226,-69.2181,37.45,100,20,4.61,few clouds
210,Shimoda,JP,34.6667,138.95,71.96,84,99,7.72,overcast clouds
211,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.88,25,0,4.07,clear sky
212,Merauke,ID,-8.4667,140.3333,81.82,64,47,16.15,scattered clouds
213,Tulum,MX,20.2167,-87.4667,80.29,90,100,8.08,overcast clouds
214,Saint-Pierre,RE,-21.3393,55.4781,69.44,69,0,8.05,clear sky
215,Baijiantan,CN,45.6333,85.1833,75.79,29,18,8.5,few clouds
216,Khandyga,RU,62.6667,135.6,60.22,53,100,8.12,overcast clouds
217,Keningau,MY,5.3378,116.1602,77.45,58,92,1.97,overcast clouds
218,Majene,ID,-3.5403,118.9707,82.72,72,100,11.61,overcast clouds
219,Deer Park,US,29.7052,-95.1238,80.13,86,75,1.99,broken clouds
220,Port Blair,IN,11.6667,92.75,81.25,80,99,7.99,overcast clouds
221,Antofagasta,CL,-23.65,-70.4,56.48,80,48,6.69,scattered clouds
222,Trelew,AR,-43.249,-65.3051,60.37,44,55,6.02,broken clouds
223,Southbridge,US,42.0751,-72.0334,67.93,94,99,6.67,overcast clouds
224,Ilulissat,GL,69.2167,-51.1,21.22,68,1,4.61,clear sky
225,Makakilo City,US,21.3469,-158.0858,86.32,59,75,9.22,light rain
226,Barrow,US,71.2906,-156.7887,35.62,93,90,10.36,light rain
227,Vaxjo,SE,56.8777,14.8091,55.45,100,90,9.22,overcast clouds
228,Virginia Beach,US,36.8529,-75.978,78.85,90,90,9.22,overcast clouds
229,Krivosheino,RU,57.3431,83.9261,51.75,88,100,9.6,overcast clouds
230,Leshukonskoye,RU,64.8989,45.7622,40.17,91,100,7.81,overcast clouds
231,Hare Bay,CA,48.8499,-54.0148,54.75,83,29,8.28,scattered clouds
232,Fortuna,US,40.5982,-124.1573,56.93,69,1,3.0,clear sky
233,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,20.71,overcast clouds
234,Praia,CV,14.9215,-23.5087,81.14,78,75,19.57,broken clouds
235,Sisimiut,GL,66.9395,-53.6735,32.7,59,32,8.81,scattered clouds
