City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Stargard Szczecinski,PL,64.35,overcast clouds,53.3367,15.0499,"Hotel - Restauracja "" Spichlerz"""
249,Soyo,AO,73.9,overcast clouds,-6.1349,12.3689,Hotel Mpampa
256,Camalu,MX,65.43,clear sky,30.85,-116.0667,La Cueva del Pirata
259,Newnan,US,73.58,overcast clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
261,Sokode,TG,71.15,light rain,8.9833,1.1333,فندق ايسوفا سوكودى
263,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
264,Ballina,AU,69.98,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
268,Xining,CN,58.78,broken clouds,36.6167,101.7667,Super Leisure Hotel
269,Rimbey,CA,53.44,clear sky,52.6334,-114.2353,Quality Inn & Suites Rimbey
274,Nelson Bay,AU,71.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
276,Gat,IL,72.28,clear sky,31.61,34.7642,OlusHome
278,La Peca,PE,66.65,light rain,-5.6111,-78.435,Hospedaje San Miguelito
280,Katsuura,JP,73.44,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
283,Halifax,CA,62.65,broken clouds,44.6453,-63.5724,Hotel Halifax
284,Asau,RO,65.75,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
285,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
288,Quatre Cocos,MU,69.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
289,Jiuquan,CN,72.54,clear sky,39.7432,98.5174,Jiuquan Hotel
290,Beterou,BJ,70.92,moderate rain,9.1992,2.2586,Monastère de Kokoubou
291,Iquique,CL,59.04,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
292,Tivoli,IT,74.68,light rain,41.9609,12.7989,"Hotel Cristallo Relais , Sure Hotel Collection by Best Western"
294,Sarh,TD,73.31,thunderstorm,9.1429,18.3923,Domicile 1sur le goudron
296,Aksu,CN,70.39,clear sky,41.1231,80.2644,Pudong Holiday Hotel
297,Taunggyi,MM,65.34,overcast clouds,20.7833,97.0333,True Treasure Hotel
302,Nyergesujfalu,HU,69.1,overcast clouds,47.7603,18.5569,Green Island Guest House
305,Stromness,GB,57.45,overcast clouds,58.965,-3.296,The Old Smokery
306,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
307,Amurzet,RU,68.02,clear sky,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
311,Lagoa,PT,69.8,broken clouds,39.05,-27.9833,Casa Das Faias
315,Batagay,RU,50.07,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
316,Margate,GB,58.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
317,Port Augusta,AU,73.54,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
318,Havre-Saint-Pierre,CA,57.2,clear sky,50.2334,-63.5986,Auberge Niapiskau
319,Totton,GB,58.98,overcast clouds,50.9188,-1.4904,"Holiday Inn Express Southampton - West, an IHG Hotel"
324,Gazanjyk,TM,72.12,clear sky,39.2446,55.5154,Railway motel
328,Ahipara,NZ,57.04,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Peace River,CA,53.91,shower rain,56.2501,-117.286,BCMInns - Peace River
331,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
332,Poum,NC,71.01,clear sky,-20.2333,164.0167,Gîte kajeon
334,Plainview,US,73.49,overcast clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
335,Mandalgovi,MN,65.48,few clouds,45.7625,106.2708,В.Ганбат
336,Hervey Bay,AU,71.71,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
337,Nosy Varika,MG,66.22,clear sky,-20.5833,48.5333,Hotel Volazara
340,Colares,PT,67.28,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
341,Soller,ES,72.86,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
343,Tsiroanomandidy,MG,63.01,scattered clouds,-18.7667,46.0333,Hotel du Bongolave
346,Ribeira Grande,PT,71.85,few clouds,38.5167,-28.7,Quinta da Meia Eira
350,Aljezur,PT,64.99,clear sky,37.3191,-8.8033,Amazigh Hostel
353,Dunmore East,IE,62.69,overcast clouds,52.1514,-6.9861,The Strand Inn
354,Victor Harbor,AU,73.47,clear sky,-35.5667,138.6167,McCracken Country Club
358,Macas,EC,63.3,few clouds,-2.3167,-78.1167,Casa Upano
363,Udala,ES,56.12,clear sky,43.0778,-2.5125,Hotel Arrasate
366,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
367,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
371,Sheridan,US,57.38,overcast clouds,44.8333,-106.9173,Comfort Inn & Suites
373,Maryville,US,73.6,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
375,Holme,DK,53.29,overcast clouds,56.1138,10.1725,Hotel Ritz Aarhus City
376,Copiapo,CL,51.49,clear sky,-27.3667,-70.3333,San Francisco de La Selva
383,Baruun-Urt,MN,63.77,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
386,Lata,PT,63.81,few clouds,40.1629,-8.3327,Casa Maquia
393,Keffi,NG,70.9,light rain,8.8486,7.8736,Imam Family
396,Xuanhua,CN,66.34,scattered clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
397,Brasileia,BR,72.72,scattered clouds,-11.0161,-68.7481,Pousada Tobias
400,Nurota,UZ,55.49,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
401,Gimli,CA,53.62,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
403,Kenai,US,52.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
404,Ramona,US,73.45,clear sky,33.0417,-116.8681,Ramona Terrace Estates
405,Weiser,US,73.6,clear sky,44.251,-116.9693,The Colonial Motel
411,Jacareacanga,BR,74.35,moderate rain,-6.2222,-57.7528,Casa do Ian😎
415,San Juan,AR,67.73,clear sky,-31.5375,-68.5364,Hotel Provincial
419,Yakeshi,CN,60.15,broken clouds,49.2833,120.7333,Longhua Hotel
420,Belogorsk,RU,58.91,few clouds,50.9158,128.4611,Gostinitsa Vostok 2000
423,San Jose,US,73.54,clear sky,37.3394,-121.895,The Westin San Jose
425,Hualmay,PE,61.0,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
426,Darhan,MN,58.8,scattered clouds,49.4867,105.9228,Buudai Hotel
431,Flinders,AU,71.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
433,College,US,56.86,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
438,San Felipe,VE,71.83,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
439,La Macarena,CO,68.68,clear sky,2.1837,-73.7849,Hotel Punto Verde
442,Ginir,ET,60.58,light rain,7.1333,40.7,Sura Dare Village
447,Corner Brook,CA,53.76,few clouds,48.9667,-57.9484,Glynmill Inn
448,Ashqelon,IL,73.29,clear sky,31.6693,34.5715,Leonardo Ashkelon
449,Sawtell,AU,70.18,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
453,Rocha,UY,51.57,clear sky,-34.4833,-54.3333,Beleza Pura B&B
454,La Libertad,EC,69.22,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
456,Santa Cruz,BO,67.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
459,Eureka,US,58.12,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
462,Ajra,IN,70.81,broken clouds,16.1167,74.2,Hotel Minerva Paradise
463,Fredericksburg,US,73.67,light intensity drizzle,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
464,San Carlos,VE,72.95,clear sky,9.6612,-68.5827,Hotel Paternopoli
467,Port Hawkesbury,CA,57.58,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
470,General Cepeda,MX,73.22,broken clouds,25.3833,-101.45,Hacienda Los Jose
471,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
473,Owando,CG,70.11,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
475,Coos Bay,US,62.58,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
476,Broome,US,69.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
477,Luau,AO,71.62,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
479,Athabasca,CA,53.42,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
481,Muana,BR,74.95,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
485,Piploda,IN,74.16,overcast clouds,23.35,75.4333,श्री महाकाल डेरी
489,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
493,Zhezkazgan,KZ,63.91,few clouds,47.8043,67.7144,Hotel Zumrat
494,Konya,TR,54.88,scattered clouds,38.1667,32.5,Bahcesaray Koyu Muhtarligi
495,Xuddur,SO,71.51,clear sky,4.1213,43.8894,Banjanay Hotel
496,High Level,CA,51.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
497,Westport,US,73.26,overcast clouds,41.1415,-73.3579,The Westport Inn
498,Faya,SA,64.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
499,Bethel,US,71.04,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
500,Krasnogorskoye,RU,56.5,clear sky,52.2953,86.1979,"Gostinitsa - Baza Otdykha ""Krasnogor'ye"""
502,Patan,NP,68.38,broken clouds,27.6667,85.3333,Hotel Goodwill
504,Tshikapa,CD,70.45,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
506,Gambela,ET,69.6,moderate rain,8.25,34.5833,Solomon Debebe Hotel
507,Brae,GB,57.11,overcast clouds,60.3964,-1.353,Busta House Hotel
508,Vao,NC,68.14,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
510,San Jeronimo,PE,52.52,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
511,Liverpool,GB,57.29,overcast clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
513,Moree,AU,71.62,clear sky,-29.4667,149.85,Molika Springs Motel
515,Laje,BR,71.55,clear sky,-10.1833,-40.9667,NN Pousada
516,Ocampo,MX,61.12,overcast clouds,21.65,-101.5,Casa de ratas
517,Fairbanks,US,56.1,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
519,Chuka,KE,60.82,scattered clouds,-0.3332,37.6459,Mountain Breeze Guest House
521,Lakes Entrance,AU,69.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
523,Ourem,PT,62.65,few clouds,39.6417,-8.5919,Pousada Ourém
524,Rio Grande,BR,55.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
527,Zemio,CF,68.38,overcast clouds,5.0314,25.1361,OCHA Office
528,Sale,MA,67.75,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
532,Wencheng,CN,74.66,light rain,33.0559,113.7978,Ruyi Hostel
535,Lubango,AO,61.74,clear sky,-14.9172,13.4925,Hotel Serra da Chela
537,Sayanogorsk,RU,61.38,broken clouds,53.0875,91.3997,Hotel Sayanogorsk
538,Eregli,TR,55.22,few clouds,37.5133,34.0467,Hotel Fuat Bey
539,Lasa,IT,59.02,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
540,Angoche,MZ,71.47,clear sky,-16.2325,39.9086,Guest House HESADA
541,Sorland,NO,51.31,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
545,Geraldton,AU,59.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
